k12,k21,k13,k31,k1,kout
0.00217032650195709,0.0020687760497125,0.00303763329876921,0.000208521918377929,0.000801679325693222,0.00221238993763872
0.00262003914606749,0.00220819598298263,0.00445043296130083,0.000228282943978609,0.000714439799435637,0.00188134814737564
0.00302167410154072,0.00276116195429922,0.00316574006002183,0.000258326017439636,0.000617057006641706,0.00164585020004527
0.0034957018685274,0.00343868541823335,0.00378982033807469,0.000221769617414432,0.000496509387829797,0.00267591822027707
0.00350094429114976,0.0027663629026347,0.0028341393768178,0.000238978619674367,0.000742986406189122,0.00215974549612481
0.00308792517951961,0.00228526222287885,0.00391073532432941,0.000214455113042263,0.000848474112483038,0.00179985037076006
0.00346237019362507,0.00169112633535918,0.00324955294941655,0.000199146024810421,0.000861434100041694,0.00168176120121345
0.00378173956666009,0.00274912922308935,0.00340894775455128,0.000231791638583095,0.000555279801287055,0.00176447043798346
0.00240368422216076,0.0029161150871413,0.00299525621010331,0.000194370421192281,0.00117503820058632,0.00204747873976267
0.00353356587156948,0.0018526308732948,0.00304672521052623,0.000244888506957732,0.000626997337564292,0.0019128437937971
0.00418727912194836,0.00246105419205642,0.00334339101903877,0.000227844292944695,0.00058759658189618,0.00172960935914923
0.00330520612843143,0.00270018408125208,0.00316736996493727,0.000228290517534631,0.000753881748006237,0.00213093486712276
0.00387296543761371,0.0031942058020484,0.00254161856672637,0.000199195829343741,0.00112007849303009,0.00186221158579839
0.00534793166254138,0.00267128299049676,0.00366404325776446,0.000275341278475212,0.000657228100104745,0.00155294751680246
0.00351487808690211,0.00160999114743229,0.00413816961976421,0.000231128107080809,0.000989193629296546,0.00200625471593167
0.00431432516616719,0.00241331144724049,0.00315099030420731,0.000222843175798708,0.000479119624307118,0.00185316377109548
0.00213454017411274,0.00256338526638334,0.00308192034906972,0.000261102135097675,0.000713197267538717,0.00178635493281923
0.00363902524389756,0.00260909599620288,0.00336153838401171,0.000208649469667726,0.000820794909282304,0.00229523473402814
0.00344813068597949,0.00325031249930513,0.0023500525500112,0.000257539210799341,0.000554081378402004,0.00150060499344247
0.00307302868270704,0.00190114590961608,0.00266021781530102,0.000220878871234661,0.000887035990059519,0.00227521077119471
0.00391802321403941,0.00264431943170567,0.00337581997131411,0.00023418310599036,0.000712484314500927,0.00196612912785554
0.00296878255933575,0.00217353778396944,0.00358785559330544,0.000215535785354907,0.000614279503738601,0.00143391233179956
0.00264129460675701,0.00251845536706567,0.00361330849149809,0.000225815063471191,0.000598781903710061,0.00234606033487334
0.00419217045147251,0.00294156448614984,0.00403564740730667,0.000218076164698504,0.00068144078188007,0.00201775945591105
0.00328974412825475,0.00256678367283179,0.00356698127756777,0.000262269526607723,0.000709121136299257,0.00194610736211493
0.00451492640002419,0.00156448257318427,0.00340411440387105,0.000222660300702317,0.000648837457792982,0.00209702260625107
0.00307504866828525,0.00206502760996558,0.00393976699332764,0.000226123332774094,0.000516041651555969,0.00212400015358718
0.00366396401765838,0.0021548037162676,0.00433711855345724,0.000230379467962398,0.000612861091563691,0.00164095435324248
0.00509789519766291,0.0022355550801265,0.00301080767408365,0.000217171664410981,0.000588526862810783,0.00172680365363252
0.00306043512661426,0.0021816287143016,0.00437009819170399,0.000247084168902378,0.000649022468238064,0.00158211327879208
0.00410849002607165,0.00299293158378029,0.00467744793224874,0.000205633472405468,0.000728635378914671,0.00174824426819138
