,VP,VP2,VP3,Cl,Q2,Q3,kout,k12,k21,k13,k31
1,7.98112329,9.506798889,151.0458654,0.014185389,0.036472891,0.041332427,0.001777368,0.004569894,0.003836506,0.005178773,0.000273642
2,3.184487181,3.473634449,175.8250242,0.020901584,0.042541645,0.043112554,0.006563563,0.013359025,0.012247013,0.013538304,0.000245201
3,11.92380702,2.351268443,246.4243564,0.041008707,0.021107753,0.024665291,0.003439229,0.001770219,0.008977177,0.002068575,0.000100093
4,11.83491251,12.38420931,178.243011,0.022517935,0.024662882,0.038320636,0.00190267,0.002083909,0.001991478,0.003237932,0.000214991
5,5.033113919,21.41609205,149.9989273,0.015923632,0.059678503,0.044891993,0.003163773,0.011857173,0.00278662,0.008919328,0.000299282
6,22.62389923,23.87976191,137.6831702,0.015463552,0.009517844,0.053882934,0.000683505,0.000420699,0.000398574,0.002381682,0.000391355
7,6.950366783,16.16008713,149.5138455,0.026752485,0.010799554,0.032528494,0.003849075,0.001553811,0.000668286,0.004680112,0.000217562
8,8.906026568,12.14114671,210.4723281,0.032330752,0.092592541,0.056824844,0.003630211,0.010396616,0.007626342,0.006380493,0.000269987
9,15.95902623,12.4092685,200.4836358,0.019259348,0.022000536,0.050223907,0.0012068,0.001378564,0.001772912,0.003147053,0.000250514
10,14.48438386,15.9243042,188.9539822,0.026482399,0.018523209,0.045057339,0.001828341,0.00127884,0.001163204,0.003110753,0.000238457
11,25.43237788,14.8950894,149.3330437,0.020532832,0.021858927,0.030406752,0.00080735,0.000859492,0.001467526,0.001195592,0.000203617
12,3.281792457,7.808738245,205.3134262,0.023356968,0.061803759,0.033785707,0.007117137,0.018832318,0.007914692,0.010294894,0.000164557
13,4.344200165,11.08804146,133.7756081,0.019968471,0.057081305,0.032326425,0.004596582,0.013139658,0.005148006,0.007441283,0.000241647
14,6.711324963,15.53749276,157.8024575,0.01717212,0.022386228,0.019151568,0.002558678,0.00333559,0.001440788,0.00285362,0.000121364
15,11.24192544,15.0009756,282.2730053,0.01824719,0.018488868,0.052931978,0.001623137,0.001644635,0.001232511,0.004708444,0.000187521
16,9.186934066,20.88037378,253.8639322,0.020993625,0.018046871,0.049184138,0.002285161,0.001964406,0.000864298,0.005353705,0.000193742
17,12.56187603,22.30141454,147.178913,0.016260026,0.014666606,0.029529866,0.001294395,0.001167549,0.000657654,0.002350753,0.000200639
18,10.98288591,8.426627214,145.7641822,0.028957806,0.089214414,0.053346387,0.00263663,0.008123039,0.010587203,0.004857229,0.000365977
19,4.306908775,24.43999414,156.6100467,0.017573112,0.016031533,0.031189654,0.004080215,0.003722283,0.000655955,0.007241773,0.000199155
20,7.555922004,26.0225809,181.5918803,0.034236699,0.015856888,0.022972164,0.004531108,0.002098604,0.000609351,0.003040286,0.000126504
21,16.14634954,13.46912497,187.0177574,0.019898932,0.029393551,0.045195635,0.001232411,0.001820446,0.002182291,0.002799124,0.000241665
22,21.20091708,55.37475674,111.5404833,0.032508036,0.019850407,0.052673973,0.001533332,0.000936299,0.000358474,0.002484514,0.000472241
23,11.19076948,15.20021767,126.8941171,0.019225862,0.060235764,0.02977736,0.001718011,0.005382629,0.003962822,0.002660886,0.000234663
24,25.03625397,14.08952945,215.9232675,0.023160026,0.011008649,0.028937988,0.00092506,0.000439708,0.000781335,0.001155843,0.00013402
25,7.777161431,10.1477467,206.5699981,0.032803926,0.037206554,0.039244112,0.004217982,0.004784079,0.003666484,0.005046071,0.00018998
26,11.97708689,12.59749071,132.8570952,0.023552795,0.021991772,0.046752631,0.001966488,0.001836154,0.001745726,0.003903506,0.000351902
27,4.720259302,16.6012607,215.2819413,0.022445733,0.034623828,0.025206423,0.004755191,0.007335154,0.002085614,0.00534005,0.000117086
28,16.39740044,38.26969053,154.1307779,0.028622489,0.033928237,0.055899798,0.00174555,0.002069123,0.000886556,0.003409065,0.000362678
29,2.49486539,22.88242305,279.7089997,0.02302444,0.059126259,0.070525023,0.00922873,0.023699178,0.002583916,0.028268067,0.000252137
30,63.13199054,19.68492461,167.4680572,0.015369546,0.03889994,0.038420113,0.000243451,0.000616168,0.001976128,0.000608568,0.000229418
31,5.142338937,16.12051996,143.1862194,0.021816176,0.006297663,0.055934549,0.004242462,0.001224669,0.000390661,0.010877258,0.000390642
